video_path,label,subject,split
manipulated_sequences/DeepFakeDetection/c23/videos/16_17__walk_down_hall_angry__S7UMSIQV.mp4,fake,16_17__walk_down_hall_angry__S7UMSIQV,train
manipulated_sequences/FaceSwap/c23/videos/299_145.mp4,fake,299_145,train
manipulated_sequences/NeuralTextures/c23/videos/733_935.mp4,fake,733_935,train
manipulated_sequences/DeepFakeDetection/c23/videos/04_26__talking_angry_couch__WX836VLY.mp4,fake,04_26__talking_angry_couch__WX836VLY,train
manipulated_sequences/NeuralTextures/c23/videos/523_541.mp4,fake,523_541,train
manipulated_sequences/FaceShifter/c23/videos/949_868.mp4,fake,949_868,train
original_sequences/youtube/c23/videos/900.mp4,real,900,train
manipulated_sequences/NeuralTextures/c23/videos/460_678.mp4,fake,460_678,train
manipulated_sequences/Deepfakes/c23/videos/182_242.mp4,fake,182_242,train
manipulated_sequences/FaceShifter/c23/videos/970_973.mp4,fake,970_973,train
manipulated_sequences/FaceShifter/c23/videos/386_154.mp4,fake,386_154,train
original_sequences/youtube/c23/videos/890.mp4,real,890,train
manipulated_sequences/NeuralTextures/c23/videos/270_297.mp4,fake,270_297,train
manipulated_sequences/FaceSwap/c23/videos/605_591.mp4,fake,605_591,train
manipulated_sequences/Deepfakes/c23/videos/433_498.mp4,fake,433_498,train
manipulated_sequences/DeepFakeDetection/c23/videos/09_13__outside_talking_pan_laughing__LPT427RY.mp4,fake,09_13__outside_talking_pan_laughing__LPT427RY,train
original_sequences/youtube/c23/videos/927.mp4,real,927,train
manipulated_sequences/DeepFakeDetection/c23/videos/06_02__talking_angry_couch__U6MDWIHG.mp4,fake,06_02__talking_angry_couch__U6MDWIHG,train
manipulated_sequences/DeepFakeDetection/c23/videos/01_27__talking_angry_couch__ZYCZ30C0.mp4,fake,01_27__talking_angry_couch__ZYCZ30C0,train
manipulated_sequences/Deepfakes/c23/videos/620_619.mp4,fake,620_619,train
manipulated_sequences/FaceShifter/c23/videos/751_752.mp4,fake,751_752,train
manipulated_sequences/NeuralTextures/c23/videos/444_655.mp4,fake,444_655,train
manipulated_sequences/FaceShifter/c23/videos/449_451.mp4,fake,449_451,train
manipulated_sequences/DeepFakeDetection/c23/videos/11_18__kitchen_still__PT4YKO2R.mp4,fake,11_18__kitchen_still__PT4YKO2R,train
manipulated_sequences/DeepFakeDetection/c23/videos/11_01__outside_talking_pan_laughing__9OM3VE0Y.mp4,fake,11_01__outside_talking_pan_laughing__9OM3VE0Y,train
manipulated_sequences/NeuralTextures/c23/videos/923_023.mp4,fake,923_023,train
manipulated_sequences/FaceShifter/c23/videos/821_812.mp4,fake,821_812,train
